,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
292,E01000297,Barnet 027D,19,51.61,9.95,1104,23.2,64,3,39870.0,272167.0
293,E01000298,Barnet 023D,31,48.73,13.77,1321,26.6,70,4,43040.0,320633.0
294,E01000299,Barnet 019A,41,46.32,12.59,1322,16.5,114,4,37780.0,242333.0
295,E01000300,Barnet 019B,16,41.39,13.34,1123,17.4,94,2,42630.0,309417.0
296,E01000301,Barnet 020C,22,41.9,15.22,935,28.7,53,3,40820.0,500817.0
297,E01000302,Barnet 019C,18,51.03,12.09,1325,21.7,86,4,37810.0,260167.0
298,E01000303,Barnet 020D,32,46.15,14.15,1022,21.7,76,3,40500.0,534167.0
299,E01000304,Barnet 020E,18,49.13,10.17,1157,17.8,89,3,37270.0,299417.0
300,E01000305,Barnet 036B,46,37.39,11.93,1148,68.9,24,5,39840.0,268000.0
301,E01000306,Barnet 036C,4,29.58,10.37,1223,14.7,117,3,47310.0,324333.0
302,E01000307,Barnet 039D,19,33.51,12.93,1123,50.2,33,6,38020.0,279833.0
303,E01000308,Barnet 036D,29,31.18,13.51,984,52.9,29,11,46800.0,315833.0
304,E01000309,Barnet 031D,19,19.45,11.96,1319,29.0,65,4,42740.0,377000.0
305,E01000310,Barnet 034C,35,29.46,13.83,1447,30.5,67,2,31930.0,316625.0
306,E01000311,Barnet 034D,27,26.91,12.68,888,34.9,47,3,33650.0,605667.0
307,E01000312,Barnet 036E,28,25.23,6.92,1190,14.7,115,6,32740.0,230333.0
308,E01000313,Barnet 036F,15,25.75,9.06,1373,21.8,87,5,29840.0,258333.0
309,E01000314,Barnet 032F,18,26.73,11.82,1347,25.1,76,2,39690.0,433333.0
310,E01000315,Barnet 022F,54,48.32,10.64,1135,50.6,34,11,36760.0,295083.0
311,E01000316,Barnet 027E,45,51.76,8.81,1660,40.6,58,7,45520.0,259983.0
312,E01000317,Barnet 019D,20,45.38,16.18,1071,17.1,95,4,31590.0,288742.0
313,E01000318,Barnet 019E,33,45.9,15.68,1205,27.2,68,5,32980.0,413667.0
314,E01000319,Barnet 027F,16,49.45,11.74,1023,15.9,96,3,39470.0,370000.0
315,E01000320,Barnet 011D,24,51.26,18.61,994,23.3,66,3,32690.0,463583.0
316,E01000321,Barnet 012E,29,43.03,11.23,1203,17.5,93,3,35890.0,303750.0
317,E01000322,Barnet 011E,35,46.04,15.67,1193,20.5,86,5,38620.0,240917.0
318,E01000323,Barnet 019F,48,40.27,13.92,1433,21.4,97,4,38780.0,243333.0
319,E01000324,Barnet 015F,29,48.17,14.16,1187,27.1,68,3,40530.0,382008.0
320,E01000325,Bexley 014A,6,19.0,16.92,1022,39.1,41,3,40440.0,273833.0
321,E01000326,Bexley 014B,13,28.86,11.56,895,27.3,48,4,38110.0,173500.0
322,E01000327,Bexley 017A,5,11.67,21.49,927,39.2,39,2,37200.0,262500.0
323,E01000328,Bexley 017B,14,19.23,19.72,930,54.3,28,2,35900.0,237082.0
324,E01000329,Bexley 017C,8,8.22,18.78,814,48.1,27,5,39450.0,223166.0
325,E01000330,Bexley 017D,7,5.68,23.51,948,25.5,62,4,32930.0,191167.0
326,E01000331,Bexley 017E,9,16.44,17.59,972,53.4,30,4,32750.0,214666.0
327,E01000332,Bexley 005A,10,31.67,21.04,966,27.8,56,3,41550.0,179500.0
328,E01000333,Bexley 003A,18,46.43,17.45,1074,29.1,59,6,39320.0,153417.0
329,E01000334,Bexley 006A,7,32.41,17.07,1013,26.5,61,3,39760.0,211333.0
330,E01000335,Bexley 003B,13,42.92,9.17,1141,139.4,13,10,37910.0,158400.0
331,E01000336,Bexley 003C,24,31.07,9.13,1244,18.1,107,9,36970.0,133333.0
332,E01000337,Bexley 003D,10,30.77,10.13,1143,27.5,62,7,35320.0,166667.0
333,E01000338,Bexley 003E,11,27.87,9.73,1195,17.3,103,5,34450.0,166417.0
334,E01000339,Bexley 025A,6,44.79,18.89,946,25.5,60,3,34560.0,254333.0
335,E01000340,Bexley 018A,6,33.76,19.89,945,23.3,66,2,32850.0,226500.0
336,E01000341,Bexley 022A,3,32.09,23.17,894,24.3,63,2,36500.0,215750.0
337,E01000342,Bexley 022B,7,35.64,15.32,1070,21.9,75,2,32090.0,219333.0
338,E01000343,Bexley 022C,7,29.35,15.75,985,30.3,52,2,30950.0,246500.0
339,E01000344,Bexley 025B,9,54.87,18.35,993,22.6,72,2,34720.0,253167.0
340,E01000345,Bexley 022D,3,34.72,15.0,891,20.8,66,2,34180.0,247000.0
341,E01000346,Bexley 021A,10,28.03,15.41,1067,34.8,48,2,39380.0,212833.0
342,E01000347,Bexley 021B,6,28.56,17.61,943,19.7,77,3,37740.0,204917.0
343,E01000348,Bexley 020A,16,30.37,18.91,935,29.3,50,1,40040.0,330417.0
344,E01000349,Bexley 020B,9,22.13,23.05,945,33.3,49,2,39940.0,285000.0
345,E01000350,Bexley 021C,8,31.19,14.63,1003,26.9,56,2,40410.0,282166.0
346,E01000351,Bexley 024A,5,27.83,20.07,1021,31.3,52,3,40310.0,241167.0
347,E01000352,Bexley 021D,10,33.27,17.98,1016,34.4,47,3,41970.0,206742.0
348,E01000353,Bexley 011A,4,21.81,25.97,995,33.8,50,1,38670.0,278277.0
349,E01000354,Bexley 011B,6,26.79,18.5,930,20.5,73,4,37080.0,220498.0
350,E01000355,Bexley 011C,8,19.16,26.53,872,42.1,35,2,43920.0,239833.0
351,E01000356,Bexley 009A,15,24.6,27.65,885,30.9,50,2,42090.0,266500.0
352,E01000357,Bexley 009B,3,29.29,14.61,902,20.2,71,2,39560.0,254667.0
353,E01000358,Bexley 011D,5,18.1,20.78,992,29.5,54,2,39570.0,237167.0
354,E01000359,Bexley 009C,5,30.9,20.8,777,20.4,63,1,37710.0,266583.0
355,E01000360,Bexley 015A,23,11.04,14.45,1074,44.0,37,4,40560.0,208333.0
356,E01000361,Bexley 020C,3,19.52,13.51,1034,28.5,54,3,37620.0,220000.0
357,E01000362,Bexley 015B,10,4.68,22.98,890,39.4,38,2,38810.0,211333.0
358,E01000363,Bexley 020D,8,15.36,19.59,905,41.9,34,2,39560.0,308083.0
359,E01000364,Bexley 023A,5,10.46,21.42,981,43.3,37,3,42190.0,274000.0
360,E01000365,Bexley 015C,16,8.73,23.9,978,34.1,50,4,39820.0,177666.0
361,E01000366,Bexley 015D,7,16.41,15.38,1037,23.6,66,2,41730.0,233667.0
362,E01000367,Bexley 010A,12,38.03,15.99,979,26.2,59,8,38760.0,171667.0
363,E01000368,Bexley 010B,2,33.49,12.62,984,23.8,66,10,39890.0,170749.0
364,E01000369,Bexley 014C,8,29.85,15.51,1068,26.6,61,3,38640.0,195333.0
365,E01000370,Bexley 014D,10,22.39,23.29,952,32.6,49,1,40880.0,236667.0
366,E01000371,Bexley 014E,8,27.32,16.51,1019,23.1,69,2,40010.0,195871.0
367,E01000372,Bexley 010C,10,35.09,16.1,1071,22.9,76,9,37350.0,191417.0
368,E01000373,Bexley 008A,20,36.27,5.61,903,8.9,160,18,39640.0,147917.0
369,E01000374,Bexley 019A,14,45.63,11.64,935,74.4,21,12,31840.0,169233.0
370,E01000375,Bexley 019B,14,38.5,12.44,1006,42.9,36,6,32150.0,181667.0
371,E01000376,Bexley 019C,15,37.44,14.27,984,55.0,29,3,36790.0,182667.0
372,E01000377,Bexley 019D,8,29.2,22.38,874,43.1,33,2,38170.0,170500.0
373,E01000378,Bexley 019E,26,27.05,13.98,1512,126.2,18,3,37750.0,190333.0
374,E01000379,Bexley 019F,10,36.4,13.79,1097,32.4,53,6,32340.0,189417.0
375,E01000380,Bexley 010D,17,37.05,16.9,984,22.5,67,4,30220.0,138333.0
376,E01000381,Bexley 028A,10,58.25,15.26,997,205.7,8,5,31520.0,195833.0
377,E01000382,Bexley 027A,13,28.27,20.94,942,58.5,27,1,34890.0,319500.0
378,E01000383,Bexley 028B,24,72.5,22.44,921,278.6,5,3,35610.0,273533.0
379,E01000384,Bexley 027B,16,39.96,17.87,1128,30.0,59,4,36870.0,207416.0
380,E01000385,Bexley 028C,16,51.05,11.01,1214,59.7,33,11,35690.0,171000.0
381,E01000386,Bexley 028D,11,43.73,17.85,935,55.2,28,10,36240.0,175083.0
382,E01000387,Bexley 027C,6,44.76,20.18,956,30.7,50,3,32330.0,253333.0
383,E01000388,Bexley 016A,3,39.68,25.23,890,53.0,28,2,33770.0,245833.0
384,E01000389,Bexley 020E,12,25.73,20.44,1060,44.2,38,3,40010.0,234415.0
385,E01000390,Bexley 020F,12,28.58,22.4,767,54.5,23,2,35670.0,235999.0
386,E01000391,Bexley 021E,6,36.78,14.83,1115,46.5,36,3,37190.0,203500.0
387,E01000392,Bexley 016B,17,39.46,8.78,1119,22.1,75,9,31830.0,206916.0
388,E01000393,Bexley 020G,7,30.08,14.32,1061,27.6,57,3,30870.0,217165.0
389,E01000394,Bexley 015E,6,22.6,22.48,848,23.7,61,1,37740.0,252000.0
390,E01000395,Bexley 018B,9,34.93,17.19,925,32.1,44,1,37910.0,285000.0
391,E01000396,Bexley 018C,14,33.75,16.31,917,21.9,64,2,39540.0,242500.0
392,E01000398,Bexley 029A,22,25.68,17.24,981,23.4,68,5,38980.0,199667.0
393,E01000399,Bexley 029B,13,33.18,21.84,947,29.2,53,2,36640.0,217083.0
394,E01000400,Bexley 029C,11,31.42,17.4,1002,28.2,56,2,34400.0,232083.0
395,E01000401,Bexley 013A,17,34.49,19.95,1002,27.0,63,4,39040.0,202333.0
396,E01000402,Bexley 005B,5,33.34,14.44,979,31.2,50,7,39110.0,176665.0
397,E01000403,Bexley 004A,18,34.94,18.16,1263,62.6,34,8,39830.0,200000.0
398,E01000404,Bexley 004B,17,37.03,3.19,1572,17.0,136,12,38550.0,124499.0
399,E01000405,Bexley 004C,16,41.77,5.17,956,38.8,37,9,33900.0,158832.0
400,E01000406,Bexley 005C,13,35.3,9.28,1034,42.9,38,7,36290.0,153333.0
401,E01000407,Bexley 005D,4,30.9,27.03,870,43.3,34,3,35690.0,160417.0
402,E01000408,Bexley 004D,23,41.66,8.73,1083,108.8,15,9,34250.0,165658.0
403,E01000409,Bexley 016C,12,33.75,19.17,1035,22.7,71,2,34020.0,230582.0
404,E01000410,Bexley 018D,4,36.75,15.25,1064,27.3,59,2,32910.0,222000.0
405,E01000411,Bexley 016D,10,39.34,17.45,901,19.1,74,3,32680.0,221667.0
406,E01000412,Bexley 018E,19,45.36,13.97,1119,24.5,70,2,33680.0,229583.0
407,E01000413,Bexley 018F,14,39.12,14.41,873,20.7,64,2,33740.0,206333.0
408,E01000414,Bexley 016E,29,22.5,17.97,1073,29.5,57,4,34230.0,192665.0
409,E01000415,Bexley 016F,7,31.5,17.0,995,22.9,65,2,33300.0,275000.0
410,E01000416,Bexley 002A,12,32.25,11.8,988,17.9,88,8,38390.0,171083.0
411,E01000417,Bexley 006B,11,31.02,16.34,1099,74.5,22,3,38920.0,238167.0
412,E01000418,Bexley 002B,17,33.96,11.68,1262,51.6,38,6,37860.0,166250.0
413,E01000419,Bexley 006C,8,33.28,25.07,851,26.4,55,1,39640.0,235083.0
414,E01000420,Bexley 006D,11,50.73,20.3,983,27.5,56,3,37960.0,213333.0
415,E01000421,Bexley 009D,6,31.81,25.38,849,28.9,51,1,36530.0,247667.0
416,E01000422,Bexley 002C,9,32.85,6.47,1107,10.4,166,13,39920.0,103500.0
417,E01000423,Bexley 025C,21,31.9,20.31,1020,28.3,59,1,33510.0,299166.0
418,E01000424,Bexley 026A,12,33.81,21.08,1134,38.6,45,2,36360.0,187583.0
419,E01000425,Bexley 025D,11,39.0,23.31,1029,36.7,47,1,33670.0,316667.0
420,E01000426,Bexley 026B,8,27.34,15.03,1115,25.6,66,2,37210.0,227871.0
421,E01000427,Bexley 026C,7,26.97,25.13,1118,40.7,47,3,37890.0,215500.0
422,E01000428,Bexley 027D,29,46.08,23.77,1150,89.3,20,3,37290.0,190667.0
423,E01000429,Bexley 008B,31,33.38,5.27,1119,31.0,54,11,30030.0,103500.0
424,E01000430,Bexley 008C,14,58.13,9.1,1197,151.0,12,8,42380.0,163833.0
425,E01000431,Bexley 008D,23,38.63,7.63,1121,14.7,117,13,41150.0,162000.0
426,E01000432,Bexley 008E,22,28.13,15.27,981,46.1,36,10,42790.0,169666.0
427,E01000433,Bexley 008F,17,24.0,9.95,1178,31.1,62,14,39880.0,177333.0
428,E01000434,Bexley 008G,5,48.0,9.96,997,154.8,10,12,37440.0,154583.0
429,E01000435,Bexley 010E,13,36.78,16.09,856,17.5,80,9,37380.0,152833.0
430,E01000436,Bexley 011E,3,26.34,19.58,1026,27.7,60,1,29360.0,253000.0
431,E01000437,Bexley 007A,7,28.06,16.06,849,26.6,49,3,33160.0,212500.0
432,E01000438,Bexley 007B,8,30.3,11.23,1119,18.3,90,4,29590.0,174833.0
433,E01000439,Bexley 007C,10,30.76,9.79,919,25.2,55,6,30920.0,182059.0
434,E01000440,Bexley 007D,3,24.69,20.56,879,24.2,58,2,29910.0,241510.0
435,E01000441,Bexley 007E,14,25.69,11.72,1074,23.6,70,10,28920.0,172167.0
436,E01000442,Bexley 006E,2,29.03,19.32,992,30.7,53,3,30890.0,222728.0
437,E01000443,Bexley 024B,12,67.97,18.48,786,27.4,46,2,39780.0,230833.0
438,E01000444,Bexley 023B,12,34.37,22.6,978,138.0,12,1,37350.0,393000.0
439,E01000445,Bexley 024C,13,34.57,26.89,911,59.1,28,2,36110.0,284667.0
440,E01000446,Bexley 024D,11,31.41,13.8,1049,28.0,56,2,34580.0,217083.0
441,E01000447,Bexley 023C,14,25.16,17.99,960,99.2,15,3,37820.0,258333.0
442,E01000448,Bexley 023D,13,27.38,23.92,771,45.6,29,2,34670.0,362082.0
443,E01000449,Bexley 023E,5,20.09,27.12,845,45.7,33,1,36740.0,358750.0
444,E01000450,Bexley 009E,7,31.02,14.08,1121,22.9,80,5,38910.0,227583.0
445,E01000451,Bexley 009F,11,32.43,13.88,1112,20.8,83,4,45600.0,208500.0
446,E01000452,Bexley 009G,7,34.46,10.99,933,15.9,90,3,41880.0,232083.0
447,E01000453,Bexley 013B,8,36.44,14.41,932,21.0,70,2,40250.0,229667.0
448,E01000454,Bexley 013C,3,33.4,18.85,980,20.5,77,2,42410.0,206667.0
449,E01000455,Bexley 013D,8,39.39,15.51,1101,26.3,65,3,46200.0,231250.0
450,E01000456,Bexley 013E,4,32.85,12.06,959,16.9,86,2,44730.0,230917.0
451,E01000457,Bexley 026D,24,34.35,19.46,1252,29.8,64,3,37120.0,186250.0
452,E01000458,Bexley 027E,6,39.48,26.47,837,33.8,42,1,39010.0,286083.0
453,E01000459,Bexley 027F,14,36.9,24.47,1024,31.0,57,2,39620.0,197833.0
454,E01000460,Bexley 022E,7,50.28,12.88,958,51.6,26,2,38470.0,377500.0
455,E01000461,Bexley 024E,11,55.34,17.06,1092,54.1,31,1,35310.0,330333.0
456,E01000462,Bexley 026E,15,38.36,25.26,996,46.3,36,3,38650.0,192833.0
457,E01000463,Bexley 025E,11,47.07,15.53,834,23.6,55,2,38330.0,259167.0
458,E01000464,Bexley 002D,3,33.33,10.46,932,14.5,100,8,38520.0,115500.0
459,E01000465,Bexley 002E,4,35.34,12.44,1049,26.8,59,9,42480.0,114825.0
460,E01000466,Bexley 001A,12,44.13,8.05,1059,236.0,7,10,38290.0,128500.0
461,E01000467,Bexley 001B,6,25.35,4.75,1121,17.2,98,10,45940.0,135917.0
462,E01000468,Bexley 001C,25,41.95,3.12,1860,29.3,100,10,42290.0,159500.0
463,E01000469,Bexley 001D,15,27.71,7.33,1175,38.0,45,7,37540.0,155083.0
464,E01000470,Bexley 002F,69,34.64,7.92,876,36.1,38,13,41900.0,117833.0
465,E01000471,Brent 026A,11,26.95,9.59,1170,13.9,119,4,29800.0,246167.0
466,E01000472,Brent 029A,22,25.75,7.23,1034,43.3,33,6,29210.0,195333.0
467,E01000473,Brent 029B,28,16.83,10.63,1451,17.4,119,5,32860.0,197167.0
468,E01000474,Brent 026B,20,16.76,8.21,1416,19.7,102,6,34010.0,251583.0
469,E01000475,Brent 029C,24,14.69,8.98,1455,31.2,65,5,35300.0,247333.0
470,E01000476,Brent 026C,18,22.0,13.24,1201,22.7,75,2,34780.0,275667.0
471,E01000477,Brent 026D,38,27.87,7.12,1368,38.5,51,7,29060.0,202167.0
472,E01000478,Brent 029D,29,21.6,11.47,1169,19.2,88,4,34230.0,268667.0
473,E01000479,Brent 009A,26,42.0,16.93,1084,31.4,53,3,32850.0,517167.0
474,E01000480,Brent 006A,35,39.07,14.59,1196,29.8,58,2,33460.0,465000.0
475,E01000481,Brent 009B,20,41.25,10.28,1081,25.4,62,9,30790.0,211750.0
476,E01000482,Brent 009C,20,38.8,9.82,1952,34.2,85,10,31090.0,267833.0
477,E01000483,Brent 009D,10,38.43,8.17,1170,22.6,81,11,32700.0,177167.0
478,E01000484,Brent 006B,10,55.25,10.38,816,31.2,40,8,32600.0,225317.0
479,E01000485,Brent 006C,9,47.75,15.5,886,17.8,77,3,30780.0,284167.0
480,E01000486,Brent 006D,20,61.5,13.38,1120,74.4,23,4,32620.0,367954.0
481,E01000487,Brent 006E,25,38.04,14.35,1266,30.7,62,5,39320.0,278333.0
482,E01000488,Brent 022A,21,29.72,8.2,1100,16.3,97,6,41540.0,520000.0
483,E01000489,Brent 030A,30,25.84,15.79,1017,31.9,48,5,32560.0,684583.0
484,E01000490,Brent 023A,32,24.5,6.66,1291,13.2,123,4,30660.0,364500.0
485,E01000491,Brent 030B,39,24.18,11.75,1342,37.2,54,5,29400.0,466665.0
486,E01000492,Brent 030C,18,24.63,14.22,901,15.8,83,2,32170.0,682500.0
487,E01000493,Brent 030D,25,24.04,15.41,1074,18.7,88,3,34080.0,586667.0
488,E01000494,Brent 023B,21,27.3,13.32,1266,21.9,80,3,38500.0,319833.0
489,E01000495,Brent 023C,27,26.88,14.33,1173,17.2,93,3,35720.0,318587.0
490,E01000497,Brent 011A,18,39.1,12.93,1164,30.2,57,6,38620.0,338667.0
491,E01000498,Brent 010B,17,45.6,9.49,1052,28.5,59,9,41260.0,290833.0
492,E01000499,Brent 011B,30,44.16,10.5,1078,52.8,33,13,39950.0,328833.0
493,E01000501,Brent 011C,14,43.48,11.14,1183,16.1,117,11,40120.0,234333.0
494,E01000502,Brent 011D,28,47.51,12.7,879,37.6,38,8,43240.0,241667.0
495,E01000503,Brent 011E,25,41.74,14.19,1305,40.5,50,6,42450.0,305167.0
496,E01000504,Brent 018A,16,32.96,8.62,1284,14.5,118,5,38480.0,448083.0
497,E01000505,Brent 018B,38,39.77,10.59,1181,15.7,108,6,36500.0,539983.0
498,E01000506,Brent 014A,19,40.1,6.64,1230,29.4,59,11,32340.0,252167.0
499,E01000507,Brent 018C,22,43.94,12.4,1184,23.1,73,7,30350.0,434983.0
500,E01000508,Brent 025A,44,41.82,12.0,1263,22.9,87,11,31180.0,225333.0
501,E01000509,Brent 014B,21,41.51,13.15,995,13.0,115,9,30240.0,327000.0
502,E01000510,Brent 014C,34,38.56,9.68,1119,17.6,95,7,32580.0,266167.0
503,E01000511,Brent 014D,25,38.43,9.71,1032,16.8,95,11,33100.0,376500.0
504,E01000512,Brent 018D,12,40.39,8.84,1321,15.2,116,5,37790.0,409042.0
505,E01000513,Brent 002A,13,22.56,14.3,1106,16.8,102,5,37320.0,328333.0
506,E01000514,Brent 002B,25,26.63,8.76,1061,15.7,98,4,29500.0,269992.0
507,E01000515,Brent 003A,11,34.97,10.11,1245,38.2,47,7,37310.0,213333.0
508,E01000516,Brent 002C,24,20.1,12.16,1171,24.6,69,4,27890.0,314583.0
509,E01000517,Brent 003B,19,49.0,14.76,1065,22.9,70,3,31120.0,400833.0
510,E01000518,Brent 005A,12,33.21,12.71,1091,50.0,33,6,31720.0,331000.0
511,E01000519,Brent 005B,19,45.25,10.9,1288,73.3,27,7,33020.0,295492.0
512,E01000520,Brent 002D,19,28.04,14.85,1096,24.3,69,5,38130.0,189667.0
513,E01000521,Brent 025B,14,33.27,6.78,1546,14.1,161,11,36360.0,218833.0
514,E01000522,Brent 025C,59,37.5,9.62,1246,14.4,135,12,36520.0,229667.0
515,E01000523,Brent 031A,27,32.59,6.78,1841,14.0,191,9,32090.0,239992.0
516,E01000524,Brent 031B,44,30.78,6.53,1712,15.8,162,12,35340.0,208250.0
517,E01000525,Brent 031C,28,28.67,6.91,1348,15.6,124,9,38150.0,225167.0
518,E01000526,Brent 025D,64,36.88,10.61,1475,13.9,163,12,35090.0,228833.0
519,E01000527,Brent 025E,30,38.98,8.71,1394,12.6,173,13,34150.0,216750.0
520,E01000528,Brent 025F,32,40.08,9.83,1005,11.1,136,10,34520.0,226917.0
521,E01000530,Brent 033A,18,29.0,11.59,1279,17.6,103,4,26140.0,355000.0
522,E01000531,Brent 033B,23,29.95,9.45,1556,10.8,203,6,29390.0,398158.0
523,E01000532,Brent 033C,18,30.6,11.12,1211,10.3,159,4,29260.0,407333.0
524,E01000533,Brent 031E,49,36.76,7.77,1604,18.7,123,8,27640.0,285667.0
525,E01000534,Brent 033D,20,31.92,10.07,1195,15.4,113,6,28350.0,361950.0
526,E01000535,Brent 031F,24,30.82,6.9,1589,18.8,115,5,27370.0,315833.0
527,E01000536,Brent 004A,25,25.1,19.09,1001,33.4,47,3,27770.0,475000.0
528,E01000538,Brent 004B,20,33.88,16.89,969,39.9,38,2,27340.0,505000.0
529,E01000539,Brent 004C,27,38.08,20.95,940,28.4,52,2,39000.0,360833.0
530,E01000540,Brent 004D,14,27.62,20.41,919,37.6,38,3,35820.0,409333.0
531,E01000541,Brent 004E,20,34.05,15.27,906,24.4,57,1,38220.0,299583.0
532,E01000543,Brent 003E,20,42.5,14.96,1033,19.6,79,4,30550.0,314417.0
533,E01000544,Brent 034A,13,17.45,7.59,1198,7.2,239,9,37800.0,271250.0
534,E01000545,Brent 028A,37,22.8,8.69,1459,11.6,158,3,34200.0,349158.0
535,E01000546,Brent 028B,17,23.88,10.36,1226,9.5,175,4,43570.0,405767.0
536,E01000547,Brent 028C,9,19.4,10.4,1314,7.6,237,4,45430.0,351333.0
537,E01000548,Brent 028D,15,18.67,7.77,1655,10.8,195,3,42110.0,305142.0
538,E01000549,Brent 028E,16,17.45,8.35,1454,11.1,176,3,43810.0,475500.0
539,E01000550,Brent 034B,11,17.01,11.13,1259,14.2,127,7,39840.0,303333.0
540,E01000551,Brent 034C,14,14.75,8.15,1456,13.7,165,10,37400.0,276650.0
541,E01000552,Brent 034D,6,16.45,9.86,1037,8.7,185,10,29560.0,211400.0
542,E01000553,Brent 015A,14,34.41,9.1,1561,14.2,153,6,37050.0,296667.0
543,E01000554,Brent 015B,7,39.39,8.49,1316,21.7,86,8,38650.0,281667.0
544,E01000555,Brent 015C,31,37.94,11.49,1036,20.7,73,4,37080.0,568658.0
545,E01000556,Brent 015D,32,35.49,4.27,1586,9.8,206,5,35450.0,285625.0
546,E01000557,Brent 015E,9,34.1,6.98,1531,11.7,166,4,41470.0,280500.0
547,E01000558,Brent 015F,24,30.62,11.16,1134,17.4,87,4,31830.0,457500.0
548,E01000559,Brent 018E,7,32.9,9.88,1164,11.4,130,4,27490.0,371667.0
549,E01000560,Brent 023D,26,31.65,9.33,1277,20.8,79,2,27140.0,432639.0
550,E01000561,Brent 023E,17,27.01,8.09,1349,11.8,153,5,33270.0,369667.0
551,E01000562,Brent 008A,15,20.91,16.3,1105,31.2,53,3,34140.0,511667.0
552,E01000563,Brent 008B,21,21.29,19.24,981,37.5,39,3,41310.0,453342.0
553,E01000564,Brent 013A,13,21.36,7.25,1140,20.3,78,6,32420.0,242833.0
554,E01000565,Brent 013B,22,23.75,13.18,1023,18.6,83,4,35270.0,405333.0
555,E01000566,Brent 008C,18,25.46,15.22,1049,20.9,75,4,40150.0,358333.0
556,E01000567,Brent 016A,21,25.63,16.13,878,20.6,67,3,38840.0,214500.0
557,E01000568,Brent 008D,22,15.02,8.04,1710,80.5,26,1,41120.0,312333.0
558,E01000569,Brent 008E,9,23.79,15.52,1048,37.7,41,1,37080.0,365317.0
559,E01000570,Brent 012A,32,16.46,11.53,1044,13.3,116,7,45090.0,265333.0
560,E01000571,Brent 012B,24,17.86,14.96,1171,35.2,50,7,43160.0,395333.0
561,E01000572,Brent 007A,15,26.48,13.41,961,21.5,68,4,35580.0,372833.0
562,E01000573,Brent 007B,22,34.8,13.69,1042,23.6,68,4,37240.0,325333.0
563,E01000574,Brent 007C,12,31.67,12.8,893,22.0,61,5,40720.0,317817.0
564,E01000575,Brent 007D,25,30.15,10.33,1306,27.0,69,4,36680.0,267500.0
565,E01000576,Brent 012C,29,29.54,14.63,1093,29.3,55,2,41430.0,318325.0
566,E01000577,Brent 007E,17,23.57,5.52,1603,34.6,69,11,42760.0,208000.0
567,E01000578,Brent 012D,41,28.28,19.16,1171,33.0,57,3,31880.0,267667.0
568,E01000579,Brent 032A,16,21.26,9.06,1217,11.3,143,5,37220.0,341167.0
569,E01000580,Brent 032B,22,16.99,11.92,1375,44.6,45,3,39010.0,469983.0
570,E01000581,Brent 030E,19,23.02,9.7,1052,16.6,93,3,37040.0,718658.0
571,E01000582,Brent 032C,34,18.95,10.16,1266,19.4,95,4,37750.0,779000.0
572,E01000583,Brent 032D,29,13.03,7.56,1705,19.5,114,3,36590.0,443667.0
573,E01000584,Brent 033E,10,22.96,12.14,1180,12.6,134,4,37280.0,573333.0
574,E01000585,Brent 033F,19,25.14,8.69,1283,10.0,179,5,32360.0,374158.0
575,E01000586,Brent 032E,37,20.95,5.46,1981,14.9,169,6,34640.0,309667.0
576,E01000587,Brent 001A,18,29.81,16.1,1099,19.8,87,4,39670.0,352333.0
577,E01000588,Brent 002E,25,22.99,9.31,1457,35.0,62,10,44700.0,325167.0
578,E01000589,Brent 001B,21,48.0,13.56,1310,29.1,67,4,46820.0,314500.0
579,E01000590,Brent 001C,24,30.3,14.61,1183,26.7,68,4,49080.0,315667.0
580,E01000591,Brent 003F,24,39.74,11.86,1441,32.3,64,4,41230.0,283817.0
581,E01000592,Brent 001D,32,28.6,14.27,1100,19.8,82,5,41840.0,350825.0
582,E01000593,Brent 001E,22,35.58,9.74,1452,18.1,118,8,40410.0,323000.0
583,E01000594,Brent 001F,24,55.75,12.68,1104,24.3,67,4,37950.0,245833.0
584,E01000595,Brent 027A,13,42.2,8.18,1032,19.2,88,14,35700.0,193100.0
585,E01000596,Brent 021A,33,47.97,9.36,1052,19.0,90,16,33740.0,219000.0
586,E01000599,Brent 027D,1,35.05,9.59,880,8.8,154,8,35970.0,159013.0
587,E01000600,Brent 027E,65,48.1,8.09,1421,202.7,11,11,36320.0,195333.0
588,E01000601,Brent 021B,40,43.11,6.36,918,69.6,22,17,33580.0,221000.0
589,E01000602,Brent 021C,37,44.2,10.72,994,13.4,117,11,36060.0,222483.0
590,E01000603,Brent 021D,21,49.35,6.98,1018,12.3,128,14,35340.0,218333.0
591,E01000604,Brent 021E,27,34.25,8.26,1166,16.9,107,12,34490.0,227833.0
592,E01000605,Brent 021F,17,33.73,9.6,1042,17.2,95,16,26440.0,239000.0
593,E01000606,Brent 016B,18,28.65,11.62,1174,23.6,74,5,25490.0,261750.0
594,E01000607,Brent 013C,40,10.19,10.58,1536,19.6,114,4,28560.0,262825.0
595,E01000608,Brent 013D,27,15.84,11.01,1584,56.8,41,6,27820.0,223500.0
596,E01000609,Brent 016C,16,20.17,8.69,1427,24.8,85,7,27900.0,235000.0
597,E01000610,Brent 019A,11,6.3,12.26,1310,28.6,70,4,26920.0,231333.0
598,E01000611,Brent 016D,9,12.89,10.87,962,12.3,108,7,27530.0,249158.0
